"행정구역","2025년_총인구수","2025년_세대수","2025년_세대당 인구","2025년_남자 인구수","2025년_여자 인구수","2025년_남여 비율"
"경기도 경기도 용인시 (4146000000)","1,091,186","448,730","          2.43","540,342","550,844","          0.98"
"경기도 경기도 용인시 처인구 (4146100000)","282,044","129,138","          2.18","144,280","137,764","          1.05"
"경기도 용인시 처인구 포곡읍(4146125000)","30,848","14,128","          2.18","15,939","14,909","          1.07"
"경기도 용인시 처인구 모현읍(4146125300)","34,384","15,822","          2.17","17,726","16,658","          1.06"
"경기도 용인시 처인구 이동읍(4146125600)","19,018","8,921","          2.13","9,773","9,245","          1.06"
"경기도 용인시 처인구 남사읍(4146125900)","23,561","9,999","          2.36","11,925","11,636","          1.02"
"경기도 용인시 처인구 원삼면(4146134000)","7,477","3,880","          1.93","3,930","3,547","          1.11"
"경기도 용인시 처인구 백암면(4146135000)","7,584","4,226","          1.79","4,143","3,441","          1.20"
"경기도 용인시 처인구 양지면(4146136000)","21,455","10,517","          2.04","11,255","10,200","          1.10"
"경기도 용인시 처인구 중앙동(4146151000)","26,885","13,588","          1.98","13,617","13,268","          1.03"
"경기도 용인시 처인구 역북동(4146152500)","34,727","15,696","          2.21","17,526","17,201","          1.02"
"경기도 용인시 처인구 삼가동(4146152600)","11,941","4,767","          2.50","5,924","6,017","          0.98"
"경기도 용인시 처인구 유림1동(4146153500)","13,538","6,650","          2.04","6,902","6,636","          1.04"
"경기도 용인시 처인구 유림2동(4146153600)","38,396","14,906","          2.58","19,311","19,085","          1.01"
"경기도 용인시 처인구 동부동(4146154000)","12,230","6,038","          2.03","6,309","5,921","          1.07"
"경기도 경기도 용인시 기흥구 (4146300000)","435,048","177,169","          2.46","214,142","220,906","          0.97"
"경기도 용인시 기흥구 신갈동(4146351000)","36,201","16,005","          2.26","18,043","18,158","          0.99"
"경기도 용인시 기흥구 영덕1동(4146351600)","34,208","13,832","          2.47","16,968","17,240","          0.98"
"경기도 용인시 기흥구 영덕2동(4146351700)","19,137","7,954","          2.41","9,419","9,718","          0.97"
"경기도 용인시 기흥구 구갈동(4146352000)","39,961","18,017","          2.22","20,203","19,758","          1.02"
"경기도 용인시 기흥구 상갈동(4146353000)","12,481","6,120","          2.04","6,424","6,057","          1.06"
"경기도 용인시 기흥구 보라동(4146353500)","32,427","12,532","          2.59","16,009","16,418","          0.98"
"경기도 용인시 기흥구 기흥동(4146354000)","20,737","9,125","          2.27","10,275","10,462","          0.98"
"경기도 용인시 기흥구 서농동(4146355000)","24,552","10,993","          2.23","12,420","12,132","          1.02"
"경기도 용인시 기흥구 구성동(4146356000)","38,395","15,336","          2.50","18,408","19,987","          0.92"
"경기도 용인시 기흥구 마북동(4146357000)","33,584","13,157","          2.55","16,392","17,192","          0.95"
"경기도 용인시 기흥구 동백1동(4146357200)","30,995","11,598","          2.67","14,852","16,143","          0.92"
"경기도 용인시 기흥구 동백2동(4146357500)","26,164","9,412","          2.78","12,806","13,358","          0.96"
"경기도 용인시 기흥구 동백3동(4146357700)","27,271","10,381","          2.63","13,267","14,004","          0.95"
"경기도 용인시 기흥구 상하동(4146358600)","22,988","9,155","          2.51","11,079","11,909","          0.93"
"경기도 용인시 기흥구 보정동(4146359000)","35,947","13,552","          2.65","17,577","18,370","          0.96"
"경기도 경기도 용인시 수지구 (4146500000)","374,094","142,423","          2.63","181,920","192,174","          0.95"
"경기도 용인시 수지구 풍덕천1동(4146551000)","34,599","15,662","          2.21","17,284","17,315","          1.00"
"경기도 용인시 수지구 풍덕천2동(4146552000)","41,219","15,395","          2.68","20,287","20,932","          0.97"
"경기도 용인시 수지구 신봉동(4146553000)","41,065","14,748","          2.78","19,846","21,219","          0.94"
"경기도 용인시 수지구 죽전1동(4146554000)","28,969","11,066","          2.62","13,999","14,970","          0.94"
"경기도 용인시 수지구 죽전2동(4146555000)","17,110","7,155","          2.39","8,320","8,790","          0.95"
"경기도 용인시 수지구 죽전3동(4146555500)","26,294","10,920","          2.41","12,765","13,529","          0.94"
"경기도 용인시 수지구 동천동(4146556000)","50,787","19,711","          2.58","24,887","25,900","          0.96"
"경기도 용인시 수지구 상현1동(4146557000)","19,740","6,534","          3.02","9,413","10,327","          0.91"
"경기도 용인시 수지구 상현2동(4146558000)","32,659","11,413","          2.86","15,811","16,848","          0.94"
"경기도 용인시 수지구 상현3동(4146558500)","27,231","11,096","          2.45","13,133","14,098","          0.93"
"경기도 용인시 수지구 성복동(4146559000)","54,421","18,723","          2.91","26,175","28,246","          0.93"
